iteration; accuracy; features
0; 0.6741152450090744; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)']
1; 0.9980441104562884; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY']
2; 0.999215070643642; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL']
3; 0.9988290398126464; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL']
4; 0.9941323313688653; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf29 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf28 REMOVALS']
5; 0.9949172607252232; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf29 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf28 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf210 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf25 REMOVALS']
6; 0.9976580796252927; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf29 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf28 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf210 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf25 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 REMOVALS']
7; 0.9933474020125074; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf29 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf28 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf210 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf25 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf218 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 PRINCIPAL']
8; 0.9933474020125074; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf29 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf28 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf210 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf25 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf218 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 PRINCIPAL']
9; 0.9933474020125074; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf29 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf28 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf210 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf25 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf218 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 PRINCIPAL']
10; 0.9982994086260487; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf29 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf28 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf210 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf25 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf218 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.ezaf-3uhsSCHOOL NAME', 'datamart.socrata.data-cityofnewyork-us.ezaf-3uhsAVERAGE CLASS SIZE', 'datamart.socrata.data-cityofnewyork-us.ezaf-3uhsNUMBER OF STUDENTS']
11; 0.9997272060095683; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2SY1617 TOTAL REMOVALS/SUSPENSIONS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf2LOCATION CATEGORY', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf216 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf217 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf29 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf28 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf210 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf213 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf25 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf212 SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf214 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf215 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf218 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 REMOVALS', 'datamart.socrata.data-cityofnewyork-us.45nu-yrf211 PRINCIPAL', 'datamart.socrata.data-cityofnewyork-us.ezaf-3uhsSCHOOL NAME', 'datamart.socrata.data-cityofnewyork-us.ezaf-3uhsAVERAGE CLASS SIZE', 'datamart.socrata.data-cityofnewyork-us.ezaf-3uhsNUMBER OF STUDENTS']
12; 0.999727206009568; 5.507363557815552